"Raw.Score","Raw.Score.par.","Raw.Score.par.err.","Prob.mod_sev","Prob.sev","wt"
6,0.944287508164643,0.484399364612046,0.995243999436023,0.0272727326533846,6015.95751953125
5,0.430790688142945,0.453687022580441,0.949162869594558,0.000725141443233102,5976.31689453125
2,-0.818889007751572,0.429019832050858,0.118608554080578,1.6883083819863e-10,6526.8115234375
7,1.57068974666742,0.569855011425857,0.999522491310437,0.29634123630065,7622.49951171875
6,0.944287508164643,0.484399364612046,0.995243999436023,0.0272727326533846,7614.56201171875
5,0.430790688142945,0.453687022580441,0.949162869594558,0.000725141443233102,8636.837890625
6,0.944287508164643,0.484399364612046,0.995243999436023,0.0272727326533846,8443.330078125
6,0.944287508164643,0.484399364612046,0.995243999436023,0.0272727326533846,4370.23291015625
5,0.430790688142945,0.453687022580441,0.949162869594558,0.000725141443233102,4365.68212890625
8,2.1435400687848,0.667956664164026,0.999881492477872,0.655874886938921,5450.4794921875
3,-0.415154278684319,0.417870144983523,0.40232405514271,2.10484335516625e-08,5567.88330078125
4,-0.00272072840091447,0.431320301901657,0.76318598125594,6.66348561184638e-06,6050.16845703125
4,-0.00272072840091447,0.431320301901657,0.76318598125594,6.66348561184638e-06,5069.48486328125
6,0.944287508164643,0.484399364612046,0.995243999436023,0.0272727326533846,5040.72314453125
6,0.944287508164643,0.484399364612046,0.995243999436023,0.0272727326533846,13092.078125
8,2.1435400687848,0.667956664164026,0.999881492477872,0.655874886938921,14693.7138671875
8,2.1435400687848,0.667956664164026,0.999881492477872,0.655874886938921,14364.5029296875
7,1.57068974666742,0.569855011425857,0.999522491310437,0.29634123630065,15907.2646484375
8,2.1435400687848,0.667956664164026,0.999881492477872,0.655874886938921,11396.3173828125
8,2.1435400687848,0.667956664164026,0.999881492477872,0.655874886938921,12419.5400390625
4,-0.00272072840091447,0.431320301901657,0.76318598125594,6.66348561184638e-06,5314.6689453125
5,0.430790688142945,0.453687022580441,0.949162869594558,0.000725141443233102,5350.12646484375
1,-1.30728311932902,0.513100049335889,0.0261816598711847,2.76782485819638e-10,6297.40673828125
6,0.944287508164643,0.484399364612046,0.995243999436023,0.0272727326533846,6315.59326171875
3,-0.415154278684319,0.417870144983523,0.40232405514271,2.10484335516625e-08,6640.86474609375
1,-1.30728311932902,0.513100049335889,0.0261816598711847,2.76782485819638e-10,6590.513671875
4,-0.00272072840091447,0.431320301901657,0.76318598125594,6.66348561184638e-06,7235.787109375
0,-1.68228064346223,0.667956664164026,0,0,15186.8544921875
8,2.1435400687848,0.667956664164026,0.999881492477872,0.655874886938921,15100.693359375
4,-0.00272072840091447,0.431320301901657,0.76318598125594,6.66348561184638e-06,16328.2158203125
2,-0.818889007751572,0.429019832050858,0.118608554080578,1.6883083819863e-10,16679.927734375
4,-0.00272072840091447,0.431320301901657,0.76318598125594,6.66348561184638e-06,18124.728515625
5,0.430790688142945,0.453687022580441,0.949162869594558,0.000725141443233102,175482.6875
4,-0.00272072840091447,0.431320301901657,0.76318598125594,6.66348561184638e-06,5314.6689453125
6,0.944287508164643,0.484399364612046,0.995243999436023,0.0272727326533846,5350.12646484375
7,1.57068974666742,0.569855011425857,0.999522491310437,0.29634123630065,5545.76953125
8,2.1435400687848,0.667956664164026,0.999881492477872,0.655874886938921,5458.7900390625
5,0.430790688142945,0.453687022580441,0.949162869594558,0.000725141443233102,5971.68505859375
0,-1.68228064346223,0.667956664164026,0,0,6297.40673828125
2,-0.818889007751572,0.429019832050858,0.118608554080578,1.6883083819863e-10,6315.59326171875
3,-0.415154278684319,0.417870144983523,0.40232405514271,2.10484335516625e-08,6640.86474609375
1,-1.30728311932902,0.513100049335889,0.0261816598711847,2.76782485819638e-10,6590.513671875
0,-1.68228064346223,0.667956664164026,0,0,7235.787109375
3,-0.415154278684319,0.417870144983523,0.40232405514271,2.10484335516625e-08,8624.6337890625
6,0.944287508164643,0.484399364612046,0.995243999436023,0.0272727326533846,8575.7021484375
6,0.944287508164643,0.484399364612046,0.995243999436023,0.0272727326533846,9272.814453125
1,-1.30728311932902,0.513100049335889,0.0261816598711847,2.76782485819638e-10,9472.5517578125
1,-1.30728311932902,0.513100049335889,0.0261816598711847,2.76782485819638e-10,10293.0556640625
8,2.1435400687848,0.667956664164026,0.999881492477872,0.655874886938921,5050.42578125
6,0.944287508164643,0.484399364612046,0.995243999436023,0.0272727326533846,4290.0341796875
4,-0.00272072840091447,0.431320301901657,0.76318598125594,6.66348561184638e-06,5388.04296875
1,-1.30728311932902,0.513100049335889,0.0261816598711847,2.76782485819638e-10,5427.64892578125
4,-0.00272072840091447,0.431320301901657,0.76318598125594,6.66348561184638e-06,4915.1005859375
3,-0.415154278684319,0.417870144983523,0.40232405514271,2.10484335516625e-08,4277.6806640625
5,0.430790688142945,0.453687022580441,0.949162869594558,0.000725141443233102,4290.0341796875
6,0.944287508164643,0.484399364612046,0.995243999436023,0.0272727326533846,5388.04296875
4,-0.00272072840091447,0.431320301901657,0.76318598125594,6.66348561184638e-06,5427.64892578125
3,-0.415154278684319,0.417870144983523,0.40232405514271,2.10484335516625e-08,5923.1015625
6,0.944287508164643,0.484399364612046,0.995243999436023,0.0272727326533846,4289.88427734375
4,-0.00272072840091447,0.431320301901657,0.76318598125594,6.66348561184638e-06,4401.13525390625
4,-0.00272072840091447,0.431320301901657,0.76318598125594,6.66348561184638e-06,4564.4072265625
0,-1.68228064346223,0.667956664164026,0,0,4766.06884765625
0,-1.68228064346223,0.667956664164026,0,0,4793.62890625
