"Raw.Score","Raw.Score.par.","Raw.Score.par.err.","Prob.mod_sev","Prob.sev","wt"
0,-2.55657103239071,1.18612106617854,0,0,329.418640136719
NA,NA,NA,NA,NA,511.032348632812
NA,NA,NA,NA,NA,357.119781494141
NA,NA,NA,NA,NA,956.976013183594
3,-0.547102306758784,0.659412715516358,0.360607172207126,0.000119423068554725,322.145782470703
NA,NA,NA,NA,NA,272.549194335938
NA,NA,NA,NA,NA,320.688812255859
0,-2.55657103239071,1.18612106617854,0,0,544.887145996094
NA,NA,NA,NA,NA,8244.2275390625
0,-2.55657103239071,1.18612106617854,0,0,491.826934814453
NA,NA,NA,NA,NA,407.691436767578
3,-0.547102306758784,0.659412715516358,0.360607172207126,0.000119423068554725,491.826934814453
NA,NA,NA,NA,NA,491.826934814453
0,-2.55657103239071,1.18612106617854,0,0,433.860809326172
NA,NA,NA,NA,NA,617.851806640625
2,-1.13378202341361,0.710272134658666,0.12357945464494,1.13338140235175e-05,617.851806640625
NA,NA,NA,NA,NA,450.813995361328
2,-1.13378202341361,0.710272134658666,0.12357945464494,1.13338140235175e-05,468.062835693359
NA,NA,NA,NA,NA,437.230987548828
0,-2.55657103239071,1.18612106617854,0,0,209.302917480469
NA,NA,NA,NA,NA,437.230987548828
NA,NA,NA,NA,NA,468.105224609375
NA,NA,NA,NA,NA,490.048095703125
NA,NA,NA,NA,NA,371.243225097656
NA,NA,NA,NA,NA,314.087707519531
NA,NA,NA,NA,NA,490.048095703125
NA,NA,NA,NA,NA,490.048095703125
3,-0.547102306758784,0.659412715516358,0.360607172207126,0.000119423068554725,309.147369384766
NA,NA,NA,NA,NA,3680.21899414062
3,-0.547102306758784,0.659412715516358,0.360607172207126,0.000119423068554725,3140.1416015625
NA,NA,NA,NA,NA,10488.095703125
NA,NA,NA,NA,NA,10488.095703125
NA,NA,NA,NA,NA,5130.00244140625
2,-1.13378202341361,0.710272134658666,0.12357945464494,1.13338140235175e-05,16458.9921875
2,-1.13378202341361,0.710272134658666,0.12357945464494,1.13338140235175e-05,8030.16357421875
3,-0.547102306758784,0.659412715516358,0.360607172207126,0.000119423068554725,9831.1083984375
NA,NA,NA,NA,NA,8012.74560546875
6,1.21128926679479,0.751642368506629,0.978635442840664,0.188422024229917,3350.0498046875
4,-0.00434597653514638,0.657434596273452,0.679985069698172,0.00212208589322915,2603.408203125
NA,NA,NA,NA,NA,2485.51147460938
NA,NA,NA,NA,NA,3350.0498046875
NA,NA,NA,NA,NA,3959.66821289062
4,-0.00434597653514638,0.657434596273452,0.679985069698172,0.00212208589322915,3959.66821289062
NA,NA,NA,NA,NA,4569.1123046875
8,3.01247850823539,1.18612106617854,0.997465742805738,0.831104462699176,5065.3212890625
4,-0.00434597653514638,0.657434596273452,0.679985069698172,0.00212208589322915,7903.05029296875
NA,NA,NA,NA,NA,4381.6513671875
0,-2.55657103239071,1.18612106617854,0,0,280.192749023438
1,-1.91015781015636,0.891204223673042,0.0364480169350121,1.0792063819598e-05,487.012176513672
0,-2.55657103239071,1.18612106617854,0,0,333.905303955078
NA,NA,NA,NA,NA,210.565521240234
0,-2.55657103239071,1.18612106617854,0,0,333.905303955078
NA,NA,NA,NA,NA,399.940856933594
6,1.21128926679479,0.751642368506629,0.978635442840664,0.188422024229917,1145.162109375
NA,NA,NA,NA,NA,252.491729736328
NA,NA,NA,NA,NA,252.491729736328
NA,NA,NA,NA,NA,302.426330566406
NA,NA,NA,NA,NA,252.491729736328
8,3.01247850823539,1.18612106617854,0.997465742805738,0.831104462699176,252.491729736328
NA,NA,NA,NA,NA,110.129501342773
NA,NA,NA,NA,NA,110.129501342773
0,-2.55657103239071,1.18612106617854,0,0,117.766265869141
3,-0.547102306758784,0.659412715516358,0.360607172207126,0.000119423068554725,110.129501342773
8,3.01247850823539,1.18612106617854,0.997465742805738,0.831104462699176,182.411529541016
NA,NA,NA,NA,NA,182.411529541016
NA,NA,NA,NA,NA,339.534240722656
NA,NA,NA,NA,NA,179.062393188477
NA,NA,NA,NA,NA,339.534240722656
0,-2.55657103239071,1.18612106617854,0,0,331.661499023438
NA,NA,NA,NA,NA,1452.5263671875
NA,NA,NA,NA,NA,1409.73828125
0,-2.55657103239071,1.18612106617854,0,0,1769.23486328125
NA,NA,NA,NA,NA,6967.25048828125
8,3.01247850823539,1.18612106617854,0.997465742805738,0.831104462699176,4872.66357421875
NA,NA,NA,NA,NA,4800.57666015625
NA,NA,NA,NA,NA,4214.9970703125
7,2.08137718225884,0.933486065728617,0.994821830940311,0.58726253604951,1568.57336425781
NA,NA,NA,NA,NA,2247.47729492188
NA,NA,NA,NA,NA,1667.47692871094
NA,NA,NA,NA,NA,1667.47692871094
NA,NA,NA,NA,NA,383.674896240234
8,3.01247850823539,1.18612106617854,0.997465742805738,0.831104462699176,288.332580566406
6,1.21128926679479,0.751642368506629,0.978635442840664,0.188422024229917,897.1025390625
NA,NA,NA,NA,NA,891.852844238281
NA,NA,NA,NA,NA,897.1025390625
NA,NA,NA,NA,NA,7438.81201171875
NA,NA,NA,NA,NA,4804.7744140625
8,3.01247850823539,1.18612106617854,0.997465742805738,0.831104462699176,5444.109375
8,3.01247850823539,1.18612106617854,0.997465742805738,0.831104462699176,4804.7744140625
NA,NA,NA,NA,NA,2411.89624023438
NA,NA,NA,NA,NA,2411.89624023438
