"Raw.Score","Raw.Score.par.","Raw.Score.par.err.","Prob.mod_sev","Prob.sev","wt"
2,-0.642580763173386,0.488322388717258,0.249081764519329,1.25691982599818e-07,578.682938761215
NA,NA,NA,NA,NA,2248.9676602103
NA,NA,NA,NA,NA,4887.56974732434
NA,NA,NA,NA,NA,88.64285
NA,NA,NA,NA,NA,88.64285
6,1.6065129717149,0.580554928021466,0.999523887347727,0.321543052057054,88.64285
5,0.963407019628024,0.504482878579934,0.994260207368273,0.0352996661895106,2606.51018025239
NA,NA,NA,NA,NA,447.123398856346
NA,NA,NA,NA,NA,164.407224204547
NA,NA,NA,NA,NA,1586.14367683141
NA,NA,NA,NA,NA,17092.0179745593
NA,NA,NA,NA,NA,1460.73947359623
4,0.409061252761034,0.48866957618621,0.929913952318117,0.00134568397999357,1407.18027008704
2,-0.642580763173386,0.488322388717258,0.249081764519329,1.25691982599818e-07,1921.95711083991
NA,NA,NA,NA,NA,3035.05470538715
NA,NA,NA,NA,NA,2945.02925005187
NA,NA,NA,NA,NA,1945.99678088021
NA,NA,NA,NA,NA,824.883300968018
NA,NA,NA,NA,NA,8240.26090831875
5,0.963407019628024,0.504482878579934,0.994260207368273,0.0352996661895106,308.019460904153
1,-1.24191636093052,0.558098696055265,0.047798914338804,1.16284677442735e-08,796.19080665811
4,0.409061252761034,0.48866957618621,0.929913952318117,0.00134568397999357,5005.74280512999
NA,NA,NA,NA,NA,810.324660144638
NA,NA,NA,NA,NA,1112.44064632257
NA,NA,NA,NA,NA,1224.67721080367
NA,NA,NA,NA,NA,11056.8591793446
0,-1.6715936642037,0.701664934891361,0,0,22627.20606
0,-1.6715936642037,0.701664934891361,0,0,1385.53259093559
NA,NA,NA,NA,NA,868.040426456156
NA,NA,NA,NA,NA,5395.30726666859
NA,NA,NA,NA,NA,3848.89462345848
0,-1.6715936642037,0.701664934891361,0,0,1193.17147052275
NA,NA,NA,NA,NA,624.445761577503
NA,NA,NA,NA,NA,402.109362031644
0,-1.6715936642037,0.701664934891361,0,0,2634.50798531182
NA,NA,NA,NA,NA,22627.20606
2,-0.642580763173386,0.488322388717258,0.249081764519329,1.25691982599818e-07,11162.7902167239
NA,NA,NA,NA,NA,5740.15892744547
7,2.2702851456948,0.701664934891361,0.999883355701992,0.713143030987586,4068.44538713381
NA,NA,NA,NA,NA,1391.60036695755
7,2.2702851456948,0.701664934891361,0.999883355701992,0.713143030987586,3955.28962351051
NA,NA,NA,NA,NA,928.771305195342
NA,NA,NA,NA,NA,8282.9463855258
7,2.2702851456948,0.701664934891361,0.999883355701992,0.713143030987586,123.161403787959
NA,NA,NA,NA,NA,1216.65801052902
3,-0.12017399294029,0.47703733204573,0.656047596049611,1.4349628072452e-05,2152.25892550038
1,-1.24191636093052,0.558098696055265,0.047798914338804,1.16284677442735e-08,1344.60942491317
6,1.6065129717149,0.580554928021466,0.999523887347727,0.321543052057054,8896.96387798887
7,2.2702851456948,0.701664934891361,0.999883355701992,0.713143030987586,937.075189722303
NA,NA,NA,NA,NA,2990.76743982302
NA,NA,NA,NA,NA,16635.3705380821
1,-1.24191636093052,0.558098696055265,0.047798914338804,1.16284677442735e-08,2940.60893777664
6,1.6065129717149,0.580554928021466,0.999523887347727,0.321543052057054,996.73217874374
NA,NA,NA,NA,NA,428.044917993474
4,0.409061252761034,0.48866957618621,0.929913952318117,0.00134568397999357,1805.24073080463
NA,NA,NA,NA,NA,784.97342351964
7,2.2702851456948,0.701664934891361,0.999883355701992,0.713143030987586,15663.6483741301
NA,NA,NA,NA,NA,770.111337068966
0,-1.6715936642037,0.701664934891361,0,0,4220.6909801833
NA,NA,NA,NA,NA,340.480374453061
4,0.409061252761034,0.48866957618621,0.929913952318117,0.00134568397999357,18162.9319640016
0,-1.6715936642037,0.701664934891361,0,0,7729.37295202758
3,-0.12017399294029,0.47703733204573,0.656047596049611,1.4349628072452e-05,3431.51992218196
NA,NA,NA,NA,NA,22627.20606
2,-0.642580763173386,0.488322388717258,0.249081764519329,1.25691982599818e-07,22627.20606
0,-1.6715936642037,0.701664934891361,0,0,1730.03142165786
6,1.6065129717149,0.580554928021466,0.999523887347727,0.321543052057054,974.129125647565
0,-1.6715936642037,0.701664934891361,0,0,10141.3268619606
0,-1.6715936642037,0.701664934891361,0,0,529.365206818984
0,-1.6715936642037,0.701664934891361,0,0,6694.32892756797
NA,NA,NA,NA,NA,9152.83758803838
4,0.409061252761034,0.48866957618621,0.929913952318117,0.00134568397999357,5031.55022291219
6,1.6065129717149,0.580554928021466,0.999523887347727,0.321543052057054,792.051479568875
5,0.963407019628024,0.504482878579934,0.994260207368273,0.0352996661895106,12394.9674442109
NA,NA,NA,NA,NA,2556.42695114012
NA,NA,NA,NA,NA,6690.24855067549
NA,NA,NA,NA,NA,7887.07816641309
NA,NA,NA,NA,NA,2628.63738365563
NA,NA,NA,NA,NA,2364.89267071847
NA,NA,NA,NA,NA,9527.30596522324
NA,NA,NA,NA,NA,19975.7472172431
NA,NA,NA,NA,NA,481.907806686111
NA,NA,NA,NA,NA,8669.96370577002
NA,NA,NA,NA,NA,15370.3133555401
6,1.6065129717149,0.580554928021466,0.999523887347727,0.321543052057054,8459.31157902328
6,1.6065129717149,0.580554928021466,0.999523887347727,0.321543052057054,22627.20606
6,1.6065129717149,0.580554928021466,0.999523887347727,0.321543052057054,6135.53077950091
1,-1.24191636093052,0.558098696055265,0.047798914338804,1.16284677442735e-08,5697.93258463612
NA,NA,NA,NA,NA,6029.33228310434
0,-1.6715936642037,0.701664934891361,0,0,10499.2281483699
6,1.6065129717149,0.580554928021466,0.999523887347727,0.321543052057054,12205.8671488919
NA,NA,NA,NA,NA,9415.98253728369
NA,NA,NA,NA,NA,2291.98710244381
4,0.409061252761034,0.48866957618621,0.929913952318117,0.00134568397999357,10777.2026136077
NA,NA,NA,NA,NA,14107.7699243759
6,1.6065129717149,0.580554928021466,0.999523887347727,0.321543052057054,2161.42574363229
NA,NA,NA,NA,NA,2926.03700910953
NA,NA,NA,NA,NA,1544.54028676543
NA,NA,NA,NA,NA,22627.20606
1,-1.24191636093052,0.558098696055265,0.047798914338804,1.16284677442735e-08,2901.62273420518
5,0.963407019628024,0.504482878579934,0.994260207368273,0.0352996661895106,3349.92197806137
NA,NA,NA,NA,NA,10824.2395420497
